"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","809","Add product to cart","chromium","2026-05-26","passed","2026-05-26","","ui/cart.spec.ts","",""
"","14","API Test","firefox","2026-05-26","failed","2026-05-26","","api/apiTest.spec.ts","",""
"","2308","Add product to cart","firefox","2026-05-26","passed","2026-05-26","","ui/cart.spec.ts","",""
"","2290","Add product to cart","webkit","2026-05-26","passed","2026-05-26","","ui/cart.spec.ts","",""
"","901","Login with invalid credentials","webkit","2026-05-26","passed","2026-05-26","","ui/login.spec.ts","",""
"","16","API Test","chromium","2026-05-26","failed","2026-05-26","","api/apiTest.spec.ts","",""
"","659","Login with valid credentials","chromium","2026-05-26","passed","2026-05-26","","ui/login.spec.ts","",""
"","838","Login with valid credentials","firefox","2026-05-26","passed","2026-05-26","","ui/login.spec.ts","",""
"","522","Login with invalid credentials","chromium","2026-05-26","passed","2026-05-26","","ui/login.spec.ts","",""
"","789","Login with invalid credentials","firefox","2026-05-26","passed","2026-05-26","","ui/login.spec.ts","",""
"","16","API Test","webkit","2026-05-26","failed","2026-05-26","","api/apiTest.spec.ts","",""
"","1162","Login with valid credentials","webkit","2026-05-26","passed","2026-05-26","","ui/login.spec.ts","",""
